Junction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,0.636564921,1.238680577,0.539351557,0.700959521,0.881402066,1.094133703,0.394846558,0.673979655,0.735671624,0.855399479,0.78883739,0.948201191,0.489290381,0.737221817,1.039697472,1.099603758,1.277282366,1.442115892,0.647775503,0.84938812,1.229902964,1.497957006,1.649202287,0.7241897,0.798609152,0.96816396,1.162542517,1.430744,1.770610571,1.450782113,1.557518208,1.679964739,1.722809614,1.720583438,1.850605587,2.197479785
2,0.636564921,0,0.602327225,0.303259159,0.246532845,0.324656594,0.496121963,0.613982719,0.654186591,0.575715803,0.546641873,0.431964778,0.480734872,0.790027579,0.813414313,0.799727065,0.728050424,0.816600576,0.933877243,0.994126401,1.019139528,1.074282812,1.182671478,1.322321121,1.209525372,1.177029013,1.190012432,1.271377203,1.420757225,1.66884971,1.870003388,1.887249962,1.932872906,2.200771585,2.147487359,2.12772187,2.301047186
3,1.238680577,0.602327225,0,0.813162313,0.640740741,0.476968245,0.322470618,1.161176382,1.08397531,0.95066783,0.812262666,0.734711499,0.603968349,1.325018719,1.245220092,1.001863923,0.815402549,0.728929384,0.711992239,1.516654038,1.456785132,1.268382569,1.181473265,1.277295809,1.767097377,1.694629055,1.630291974,1.632290349,1.673159999,1.809519193,2.369356077,2.333703898,2.327789709,2.72388253,2.642364234,2.528701266,2.564986264
4,0.539351557,0.303259159,0.813162313,0,0.182248517,0.37124575,0.590752638,0.348090231,0.353275413,0.298644373,0.343205794,0.255316143,0.40909142,0.514121158,0.510431898,0.57531422,0.578900884,0.740469466,0.902768093,0.711930949,0.716035669,0.826874933,1.011322288,1.160229494,0.953950721,0.893534885,0.887469587,0.971832622,1.141134349,1.416916967,1.581983548,1.587161427,1.629614469,1.923378683,1.858687153,1.824587733,2.009649145
5,0.700959521,0.246532845,0.640740741,0.182248517,0,0.189238042,0.408796202,0.526101728,0.462915316,0.354468153,0.300487628,0.185617805,0.265117894,0.685053478,0.627569764,0.553559763,0.490345698,0.609788521,0.754396883,0.876066948,0.84022061,0.829859314,0.943325733,1.086088432,1.12935071,1.054837982,1.014692049,1.062721237,1.186671437,1.423965494,1.73529199,1.720204116,1.742435147,2.084984521,2.010313946,1.940718765,2.074400638
6,0.881402066,0.324656594,0.476968245,0.37124575,0.189238042,0,0.219560908,0.711099282,0.607061513,0.47485382,0.351925245,0.260352187,0.185869989,0.863826346,0.768368738,0.579776467,0.447262751,0.496594954,0.609635181,1.048001979,0.980270468,0.861146986,0.893215688,1.024431774,1.310117977,1.223144352,1.15411153,1.169263842,1.248029694,1.442235998,1.893081694,1.858571112,1.861257559,2.250118849,2.165625628,2.061549618,2.143662002
7,1.094133703,0.496121963,0.322470618,0.590752638,0.408796202,0.219560908,0,0.928105403,0.798950792,0.657328035,0.503499094,0.443628399,0.288855257,1.076114822,0.953767254,0.679819704,0.494344257,0.438717519,0.483447057,1.254259819,1.161230595,0.946249651,0.88524598,0.995715361,1.52280944,1.425599543,1.332254577,1.317497166,1.350689474,1.495042343,2.083502661,2.030392322,2.01379137,2.446786845,2.352873563,2.214899836,2.24283861
8,0.394846558,0.613982719,1.161176382,0.348090231,0.526101728,0.711099282,0.928105403,0,0.289900436,0.386863377,0.543897009,0.519791087,0.701504027,0.176972047,0.344122971,0.676193466,0.77946983,0.985054096,1.16736918,0.382249017,0.485078922,0.840292832,1.133386951,1.283720223,0.606166906,0.56474737,0.632314946,0.790654849,1.040821656,1.376047679,1.258501362,1.297626573,1.376473855,1.586987248,1.536111795,1.562098788,1.839640688
9,0.673979655,0.654186591,1.08397531,0.353275413,0.462915316,0.607061513,0.798950792,0.289900436,0,0.146749622,0.321434179,0.355354339,0.525414248,0.336123359,0.164655511,0.391483406,0.525040345,0.744571026,0.93396142,0.470247626,0.377473987,0.556148276,0.84531543,0.99511564,0.757853433,0.631042001,0.552042077,0.618583325,0.807042585,1.115103639,1.286740744,1.257821912,1.282982628,1.647846953,1.558647813,1.480080186,1.66004801
10,0.735671624,0.575715803,0.95066783,0.298644373,0.354468153,0.47485382,0.657328035,0.386863377,0.146749622,0,0.175472376,0.216228313,0.379610588,0.471580723,0.296571192,0.304652213,0.394556162,0.607739795,0.795165841,0.616655095,0.506361843,0.531793449,0.762286547,0.913531816,0.902636529,0.777391823,0.679624853,0.708470679,0.846787763,1.118852031,1.426187071,1.383717298,1.392298206,1.790527493,1.696117418,1.591648249,1.725724373
