Junction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,0.636564921,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.7241897,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2,0.636564921,0,0.602327225,1000,0.246532845,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3,1000,0.602327225,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.711992239,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4,1000,1000,1000,0,0.182248517,1000,1000,0.348090231,1000,0.298644373,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
5,1000,0.246532845,1000,0.182248517,0,0.189238042,1000,1000,1000,1000,1000,0.185617805,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
6,1000,1000,1000,1000,0.189238042,0,0.219560908,1000,1000,1000,1000,1000,0.185869989,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
7,1000,1000,1000,1000,1000,0.219560908,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.438717519,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8,1000,1000,1000,0.348090231,1000,1000,1000,0,0.289900436,1000,1000,1000,1000,0.176972047,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,1000,1000,1000,1000,1000,1000,1000,0.289900436,0,0.146749622,1000,1000,1000,1000,0.164655511,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
10,1000,1000,1000,0.298644373,1000,1000,1000,1000,0.146749622,0,0.175472376,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
11,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.175472376,0,0.114928334,1000,1000,1000,0.253100596,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
12,1000,1000,1000,1000,0.185617805,1000,1000,1000,1000,1000,0.114928334,0,0.182493109,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
13,1000,1000,1000,1000,1000,0.185869989,1000,1000,1000,1000,1000,0.182493109,0,1000,1000,1000,0.261518236,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
14,1000,1000,1000,1000,1000,1000,1000,0.176972047,1000,1000,1000,1000,1000,0,0.298597004,1000,1000,1000,1000,0.205327459,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
15,1000,1000,1000,1000,1000,1000,1000,1000,0.164655511,1000,1000,1000,1000,0.298597004,0,1000,1000,1000,1000,1000,0.213008657,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.253100596,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,0.282042818,1000,1000,1000,1000,1000,0.66030394,1000,1000,1000,1000,1000,1000,1000,1000,1000
