Intersection,Longitude,Latitude,Connected
1,103.6636448,1.322747971,2;25
2,103.659761,1.318543385,1;3;5
3,103.6559415,1.314703475,2;19
4,103.6624432,1.318049989,5;8
5,103.661263,1.316913033,2;4;6;12
6,103.6601257,1.315647364,5;7;13
7,103.6587954,1.314188627,6;18
8,103.6651897,1.319551628,4;9;14
9,103.6654258,1.316955937,8;10;15
10,103.6643636,1.316172939,4;9;11
11,103.6632371,1.31506816,10;12;16
12,103.6624646,1.315754624,5;11;13
13,103.6613703,1.314531859,6;12;17
14,103.6667776,1.319658888,8;15;20
15,103.6669064,1.316977389,9;14;21
16,103.6648679,1.31348071,11;22
17,103.663044,1.312880053,13;18;23
18,103.6616278,1.311442766,7;17;19;23
19,103.6604691,1.310177094,3;18;24
20,103.668623,1.319723244,14;21;26
21,103.6688161,1.317127553,15;20;27
22,103.667078,1.312236492,16;23;29
23,103.6651254,1.309361916,7;18;22
24,103.6652756,1.308010435,19;23;30
25,103.6701035,1.321911345,1;26;34
26,103.6702538,1.319937764,20;25;27;31
27,103.6703825,1.317234813,21;26;28;32
28,103.6706185,1.3149609,16;27;28;33
29,103.6707473,1.312021971,22;28;30;33
30,103.6710477,1.308653998,24;29;37
31,103.6764765,1.320388255,26;32;35
32,103.6767125,1.317706757,27;31;33
33,103.6768627,1.315432844,28;29;32;36
34,103.6791372,1.322576356,25;35
35,103.6789656,1.320581323,31;34;36
36,103.6786652,1.315583008,33;35;37
37,103.6784506,1.309662245,30;36
